Model,Accuracy,Precision,Recall,F1 Score
SBERT + Logistic Regression,0.9498762376237624,0.9502805525844705,0.9498762376237624,0.9499458144839563

TF-IDF + Logistic Regression,0.9910891089108911,0.9911070733088545,0.9910891089108911,0.991091926928464


Bag-of-Words + Logistic Regression,0.9975247524752475,0.9975247524752475,0.9975247524752475,0.9975247524752475
